Ma_Don;Ngay_Dat;So_Dien_Thoai;Tinh_Thanh;Phuong_Xa;Dia_Chi_Cu_The;Ma_San_Pham;Ten_San_Pham;Nhom_Hang;So_Luong; Don_Gia ;Ty_Le_Giam_Gia; Tien_Giam ; Tong_Hang ; Phi_Van_Chuyen ; Tong_Thanh_Toan ;Don_Vi_Giao;Phuong_Thuc_Thanh_Toan;Kenh_Ban;Trang_Thai;Ngay_Giao_Du_Kien;So_Lan_Khach_Quay_Lai;Thuong_Hieu;Danh_Muc
DH2023008498;18/01/2023;885212220;Đồng Nai;Xã Nhơn Trạch;473 Hai Bà Trưng;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0; - ₫ ; 23,990,000 ₫ ;45,00 ₫; 26,434,000 ₫ ;Ninja Van;Ví điện tử;Zalo;Đã xác nhận;21/01/2023;20;Apple;Laptop
DH2023008587;18/01/2023;358998449;Cần Thơ;Phường Ninh Kiều;422 Nam Kỳ Khởi Nghĩa;SP021;Sạc nhanh Anker 20W;Đồ điện tử;2;350,00 ₫;0.1;70,00 ₫;700,00 ₫;28,00 ₫;721,00 ₫;Ninja Van;Ví điện tử;Facebook;Đã giao;24/01/2023;20;Anker;Phụ kiện
DH2023000359;19/01/2023;853050012;An Giang;Phường Châu Đốc;537 Pasteur;SP010;Laptop Asus Vivobook 15;Đồ điện tử;2; 12,990,000 ₫ ;0.12; 3,118,000 ₫ ; 25,980,000 ₫ ;35,00 ₫; 25,183,000 ₫ ;Ninja Van;COD;Facebook;Đã giao;24/01/2023;20;Asus;Laptop
DH2023004938;19/01/2023;933051680;Cần Thơ;Phường Ô Môn;325 3 Tháng 2;SP023;Apple Watch SE;Đồ điện tử;5; 5,990,000 ₫ ;0.07; 2,097,000 ₫ ; 29,950,000 ₫ ;35,00 ₫; 30,673,000 ₫ ;Ninja Van;Thẻ ngân hàng;TikTok Shop;Đã giao;21/01/2023;18;Apple;Đồng hồ thông minh
DH2023005290;19/01/2023;352402878;An Giang;Phường Long Xuyên;103 Trần Hưng Đạo;SP024;Samsung Galaxy Watch6;Đồ điện tử;1; 5,490,000 ₫ ;0.2; 1,098,000 ₫ ; 5,490,000 ₫ ;28,00 ₫; 4,859,000 ₫ ;Giao Hàng Tiết Kiệm;COD;Website;Hủy đơn;21/01/2023;20;Samsung;Đồng hồ thông minh
DH2023006577;19/01/2023;338124677;TP. Hồ Chí Minh;Phường An Khánh;219 Phạm Văn Đồng;SP023;Apple Watch SE;Đồ điện tử;10; 5,990,000 ₫ ;0.2; 11,980,000 ₫ ; 59,900,000 ₫ ;22,00 ₫; 52,734,000 ₫ ;Viettel Post;Ví điện tử;Shopee;Đã xác nhận;22/01/2023;20;Apple;Đồng hồ thông minh
DH2023006715;19/01/2023;327703042;Cần Thơ;Xã Phong Điền;202 3 Tháng 2;SP005;Xiaomi Redmi Note 13;Đồ điện tử;1; 4,990,000 ₫ ;0; - ₫ ; 4,990,000 ₫ ;45,00 ₫; 5,534,000 ₫ ;VNPost;COD;Website;Đã giao;25/01/2023;20;Xiaomi;Điện thoại
DH2023006756;19/01/2023;705762159;Cà Mau;Xã Ngọc Hiển;435 Điện Biên Phủ;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2; 1,590,000 ₫ ;0.05;159,00 ₫; 3,180,000 ₫ ;35,00 ₫; 3,358,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Website;Đang giao;22/01/2023;20;Samsung;Tai nghe
DH2023008340;19/01/2023;853807152;An Giang;Xã Tri Tôn;302 Cách Mạng Tháng Tám;SP005;Xiaomi Redmi Note 13;Đồ điện tử;1; 4,990,000 ₫ ;0; - ₫ ; 4,990,000 ₫ ;25,00 ₫; 5,514,000 ₫ ;Giao Hàng Nhanh;COD;Facebook;Đã giao;24/01/2023;20;Xiaomi;Điện thoại
DH2023009497;19/01/2023;358998449;TP. Hồ Chí Minh;Phường Sài Gòn;525 Nguyễn Trãi;SP023;Apple Watch SE;Đồ điện tử;3; 5,990,000 ₫ ;0.2; 3,594,000 ₫ ; 17,970,000 ₫ ;22,00 ₫; 15,836,000 ₫ ;J&T Express;Chuyển khoản;Shopee;Đã giao;23/01/2023;20;Apple;Đồng hồ thông minh
DH2023000331;20/01/2023;853807152;Đồng Tháp;Phường Cao Lãnh;271 Điện Biên Phủ;SP016;Smart TV LG 55 inch;Đồ điện tử;3; 11,990,000 ₫ ;0.1; 3,597,000 ₫ ; 35,970,000 ₫ ;40,00 ₫; 35,650,000 ₫ ;VNPost;COD;Zalo;Đã xác nhận;23/01/2023;20;LG;Tivi
DH2023005166;20/01/2023;760351162;Vĩnh Long;Phường Vĩnh Long;332 Nguyễn Huệ;SP019;Bàn phím Logitech K380;Đồ điện tử;2;690,00 ₫;0; - ₫ ; 1,380,000 ₫ ;35,00 ₫; 1,553,000 ₫ ;Ninja Van;Ví điện tử;TikTok Shop;Đang giao;24/01/2023;20;Logitech;Phụ kiện
DH2023005324;20/01/2023;771235506;Cà Mau;Xã Trần Văn Thời;271 Phạm Văn Đồng;SP024;Samsung Galaxy Watch6;Đồ điện tử;1; 5,490,000 ₫ ;0.03;165,00 ₫; 5,490,000 ₫ ;40,00 ₫; 5,897,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Cửa hàng;Hủy đơn;23/01/2023;20;Samsung;Đồng hồ thông minh
DH2023007286;20/01/2023;341806456;Đồng Nai;Phường Trấn Biên;311 Võ Văn Kiệt;SP015;Smart TV Samsung 43 inch;Đồ điện tử;5; 7,990,000 ₫ ;0.12; 4,794,000 ₫ ; 39,950,000 ₫ ;18,00 ₫; 38,690,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;Website;Đã giao;26/01/2023;20;Samsung;Tivi
DH2023009482;20/01/2023;885212220;Cần Thơ;Phường Thốt Nốt;159 Cách Mạng Tháng Tám;SP021;Sạc nhanh Anker 20W;Đồ điện tử;6;350,00 ₫;0.05;105,00 ₫; 2,100,000 ₫ ;25,00 ₫; 2,220,000 ₫ ;Viettel Post;Thẻ ngân hàng;Shopee;Đã giao;25/01/2023;20;Anker;Phụ kiện
DH2023000017;21/01/2023;398913297;Cà Mau;Xã Trần Văn Thời;308 Nguyễn Văn Cừ;SP017;Màn hình Dell 24 inch;Đồ điện tử;5; 3,290,000 ₫ ;0.12; 1,974,000 ₫ ; 16,450,000 ₫ ;45,00 ₫; 15,969,000 ₫ ;Giao Hàng Tiết Kiệm;Ví điện tử;Shopee;Đã giao;26/01/2023;19;Dell;Màn hình
DH2023004909;21/01/2023;771235506;Cà Mau;Xã U Minh;465 Lý Thường Kiệt;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0.1;599,00 ₫; 5,990,000 ₫ ;28,00 ₫; 5,958,000 ₫ ;Giao Hàng Nhanh;COD;Zalo;Đã giao;27/01/2023;20;Apple;Đồng hồ thông minh
DH2023006343;21/01/2023;766654656;Tây Ninh;Xã Gò Dầu;30 Cách Mạng Tháng Tám;SP019;Bàn phím Logitech K380;Đồ điện tử;3;690,00 ₫;0.03;62,00 ₫; 2,070,000 ₫ ;30,00 ₫; 2,239,000 ₫ ;Giao Hàng Tiết Kiệm;COD;Shopee;Đã xác nhận;23/01/2023;20;Logitech;Phụ kiện
DH2023009810;21/01/2023;967250448;TP. Hồ Chí Minh;Phường Bình Thạnh;156 Nam Kỳ Khởi Nghĩa;SP005;Xiaomi Redmi Note 13;Đồ điện tử;1; 4,990,000 ₫ ;0; - ₫ ; 4,990,000 ₫ ;30,00 ₫; 5,519,000 ₫ ;Viettel Post;Chuyển khoản;Zalo;Đã giao;25/01/2023;20;Xiaomi;Điện thoại
DH2023000162;22/01/2023;853807152;TP. Hồ Chí Minh;Phường Chợ Lớn;45 Điện Biên Phủ;SP003;iPhone 15;Đồ điện tử;1; 19,990,000 ₫ ;0.2; 3,998,000 ₫ ; 19,990,000 ₫ ;30,00 ₫; 17,621,000 ₫ ;Viettel Post;COD;Cửa hàng;Hoàn hàng;24/01/2023;20;Apple;Điện thoại
DH2023001629;22/01/2023;700425178;Đồng Nai;Xã Nhơn Trạch;484 Lý Thường Kiệt;SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990,00 ₫;0.1;198,00 ₫; 1,980,000 ₫ ;25,00 ₫; 1,985,000 ₫ ;Giao Hàng Nhanh;COD;Website;Đã giao;28/01/2023;20;Xiaomi;Tai nghe
DH2023005573;22/01/2023;330686394;Vĩnh Long;Xã Tam Bình;222 Pasteur;SP002;Samsung Galaxy S24;Đồ điện tử;2; 18,990,000 ₫ ;0.03; 1,139,000 ₫ ; 37,980,000 ₫ ;45,00 ₫; 40,570,000 ₫ ;Viettel Post;Thẻ ngân hàng;Facebook;Đã xác nhận;25/01/2023;20;Samsung;Điện thoại
DH2023005726;22/01/2023;853807152;Đồng Tháp;Phường Cao Lãnh;501 3 Tháng 2;SP019;Bàn phím Logitech K380;Đồ điện tử;2;690,00 ₫;0; - ₫ ; 1,380,000 ₫ ;45,00 ₫; 1,563,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Cửa hàng;Đã giao;27/01/2023;20;Logitech;Phụ kiện
DH2023006378;22/01/2023;853050012;Đồng Tháp;Phường Cao Lãnh;166 Nam Kỳ Khởi Nghĩa;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0.03;720,00 ₫; 23,990,000 ₫ ;45,00 ₫; 25,642,000 ₫ ;VNPost;Thẻ ngân hàng;Shopee;Đã giao;25/01/2023;20;Apple;Laptop
DH2023007926;22/01/2023;705762159;Vĩnh Long;Xã Tam Bình;262 Nguyễn Trãi;SP008;Laptop Dell Inspiron 15;Đồ điện tử;2; 13,990,000 ₫ ;0; - ₫ ; 27,980,000 ₫ ;45,00 ₫; 30,823,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;Shopee;Đã giao;24/01/2023;20;Dell;Laptop
DH2023008172;22/01/2023;835579228;TP. Hồ Chí Minh;Phường Bình Thạnh;578 Nam Kỳ Khởi Nghĩa;SP023;Apple Watch SE;Đồ điện tử;8; 5,990,000 ₫ ;0.1; 4,792,000 ₫ ; 47,920,000 ₫ ;25,00 ₫; 47,466,000 ₫ ;Giao Hàng Tiết Kiệm;Thẻ ngân hàng;Facebook;Đang giao;25/01/2023;2;Apple;Đồng hồ thông minh
DH2023009296;22/01/2023;771235506;Tây Ninh;Xã Dương Minh Châu;550 Pasteur;SP019;Bàn phím Logitech K380;Đồ điện tử;2;690,00 ₫;0; - ₫ ; 1,380,000 ₫ ;35,00 ₫; 1,553,000 ₫ ;J&T Express;Chuyển khoản;Facebook;Đã giao;24/01/2023;20;Logitech;Phụ kiện
DH2023000514;24/01/2023;985337336;Đồng Tháp;Xã Tháp Mười;252 Hai Bà Trưng;SP025;Máy in Canon LBP 2900;Đồ điện tử;2; 4,290,000 ₫ ;0.03;257,00 ₫; 8,580,000 ₫ ;25,00 ₫; 9,180,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;Zalo;Đã giao;26/01/2023;17;Canon;Máy in
DH2023002114;24/01/2023;782092292;Vĩnh Long;Xã Mang Thít;191 Cách Mạng Tháng Tám;SP025;Máy in Canon LBP 2900;Đồ điện tử;2; 4,290,000 ₫ ;0.03;257,00 ₫; 8,580,000 ₫ ;45,00 ₫; 9,200,000 ₫ ;J&T Express;Ví điện tử;Cửa hàng;Đã giao;26/01/2023;20;Canon;Máy in
DH2023003271;24/01/2023;327703042;An Giang;Xã Phú Tân;234 Nam Kỳ Khởi Nghĩa;SP001;Samsung Galaxy A15;Đồ điện tử;2; 4,590,000 ₫ ;0; - ₫ ; 9,180,000 ₫ ;30,00 ₫; 10,128,000 ₫ ;Ninja Van;Thẻ ngân hàng;Zalo;Đã giao;29/01/2023;20;Samsung;Điện thoại
DH2023004816;24/01/2023;793864640;An Giang;Xã Tịnh Biên;386 Nguyễn Trãi;SP016;Smart TV LG 55 inch;Đồ điện tử;2; 11,990,000 ₫ ;0.05; 1,199,000 ₫ ; 23,980,000 ₫ ;22,00 ₫; 25,081,000 ₫ ;Giao Hàng Nhanh;Chuyển khoản;Zalo;Đã giao;27/01/2023;16;LG;Tivi
DH2023005323;24/01/2023;771235506;TP. Hồ Chí Minh;Phường Tân Định;88 Phạm Văn Đồng;SP008;Laptop Dell Inspiron 15;Đồ điện tử;3; 13,990,000 ₫ ;0.2; 8,394,000 ₫ ; 41,970,000 ₫ ;28,00 ₫; 36,962,000 ₫ ;Ninja Van;Thẻ ngân hàng;Cửa hàng;Đã giao;27/01/2023;20;Dell;Laptop
DH2023006066;24/01/2023;968321931;Cần Thơ;Phường Cái Răng;559 Phạm Văn Đồng;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0; - ₫ ; 23,990,000 ₫ ;25,00 ₫; 26,414,000 ₫ ;VNPost;Thẻ ngân hàng;Facebook;Đã xác nhận;30/01/2023;2;Apple;Laptop
DH2023008067;24/01/2023;798402157;TP. Hồ Chí Minh;Phường Tân Bình;111 Nguyễn Trãi;SP024;Samsung Galaxy Watch6;Đồ điện tử;3; 5,490,000 ₫ ;0.05;824,00 ₫; 16,470,000 ₫ ;18,00 ₫; 17,229,000 ₫ ;Viettel Post;COD;Website;Hoàn hàng;28/01/2023;13;Samsung;Đồng hồ thông minh
DH2023008542;24/01/2023;771235506;An Giang;Phường Long Xuyên;332 Quang Trung;SP026;Camera Xiaomi C300;Đồ điện tử;1;990,00 ₫;0.1;99,00 ₫;990,00 ₫;28,00 ₫; 1,008,000 ₫ ;Ninja Van;Thẻ ngân hàng;Shopee;Đã giao;29/01/2023;20;Xiaomi;Camera
DH2023003923;25/01/2023;358998449;An Giang;Phường Châu Đốc;141 Quang Trung;SP005;Xiaomi Redmi Note 13;Đồ điện tử;1; 4,990,000 ₫ ;0.07;349,00 ₫; 4,990,000 ₫ ;25,00 ₫; 5,130,000 ₫ ;VNPost;Chuyển khoản;Cửa hàng;Đã giao;31/01/2023;20;Xiaomi;Điện thoại
DH2023006810;25/01/2023;885212220;Cà Mau;Xã Đầm Dơi;175 Trần Hưng Đạo;SP025;Máy in Canon LBP 2900;Đồ điện tử;1; 4,290,000 ₫ ;0.12;515,00 ₫; 4,290,000 ₫ ;45,00 ₫; 4,198,000 ₫ ;Giao Hàng Tiết Kiệm;COD;Cửa hàng;Đang giao;31/01/2023;20;Canon;Máy in
DH2023007737;25/01/2023;327703042;TP. Hồ Chí Minh;Phường Chợ Lớn;186 Võ Văn Kiệt;SP019;Bàn phím Logitech K380;Đồ điện tử;2;690,00 ₫;0.2;276,00 ₫; 1,380,000 ₫ ;45,00 ₫; 1,259,000 ₫ ;J&T Express;COD;Shopee;Đang giao;31/01/2023;20;Logitech;Phụ kiện
DH2023001469;26/01/2023;766116037;Vĩnh Long;Xã Tam Bình;406 Phạm Văn Đồng;SP021;Sạc nhanh Anker 20W;Đồ điện tử;2;350,00 ₫;0; - ₫ ;700,00 ₫;40,00 ₫;810,00 ₫;Ninja Van;Ví điện tử;Website;Đã giao;01/02/2023;20;Anker;Phụ kiện
DH2023002416;26/01/2023;942192080;Cần Thơ;Phường Ninh Kiều;209 Trần Hưng Đạo;SP016;Smart TV LG 55 inch;Đồ điện tử;1; 11,990,000 ₫ ;0.07;839,00 ₫; 11,990,000 ₫ ;18,00 ₫; 12,284,000 ₫ ;VNPost;Chuyển khoản;Website;Đã giao;30/01/2023;20;LG;Tivi
DH2023002924;26/01/2023;338124677;Vĩnh Long;Xã Trà Ôn;72 Nguyễn Văn Cừ;SP022;Cáp sạc Type-C Anker;Đồ điện tử;1;190,00 ₫;0.07;13,00 ₫;190,00 ₫;30,00 ₫;225,00 ₫;Ninja Van;Thẻ ngân hàng;Facebook;Đã xác nhận;01/02/2023;20;Anker;Phụ kiện
DH2023003680;26/01/2023;853807152;TP. Hồ Chí Minh;Phường Sài Gòn;356 Cách Mạng Tháng Tám;SP004;iPhone 14;Đồ điện tử;1; 16,990,000 ₫ ;0; - ₫ ; 16,990,000 ₫ ;28,00 ₫; 18,717,000 ₫ ;VNPost;Thẻ ngân hàng;Website;Đã giao;31/01/2023;20;Apple;Điện thoại
DH2023005328;26/01/2023;853807152;TP. Hồ Chí Minh;Phường An Khánh;417 Lê Lợi;SP003;iPhone 15;Đồ điện tử;1; 19,990,000 ₫ ;0.1; 1,999,000 ₫ ; 19,990,000 ₫ ;30,00 ₫; 19,820,000 ₫ ;J&T Express;COD;Cửa hàng;Đã giao;01/02/2023;20;Apple;Điện thoại
DH2023000200;27/01/2023;771235506;TP. Hồ Chí Minh;Phường An Khánh;24 Nam Kỳ Khởi Nghĩa;SP003;iPhone 15;Đồ điện tử;3; 19,990,000 ₫ ;0.03; 1,799,000 ₫ ; 59,970,000 ₫ ;28,00 ₫; 64,016,000 ₫ ;J&T Express;Chuyển khoản;Zalo;Đã giao;02/02/2023;20;Apple;Điện thoại
DH2023000771;27/01/2023;341806456;Đồng Nai;Xã Nhơn Trạch;566 Nguyễn Huệ;SP011;Tai nghe AirPods 3;Đồ điện tử;2; 3,990,000 ₫ ;0; - ₫ ; 7,980,000 ₫ ;25,00 ₫; 8,803,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;TikTok Shop;Hoàn hàng;31/01/2023;20;Apple;Tai nghe
DH2023002068;27/01/2023;344903217;An Giang;Xã Chợ Mới;120 Pasteur;SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;1;990,00 ₫;0.15;148,00 ₫;990,00 ₫;30,00 ₫;956,00 ₫;VNPost;Chuyển khoản;TikTok Shop;Đã giao;01/02/2023;3;Xiaomi;Tai nghe
DH2023003512;27/01/2023;327703042;TP. Hồ Chí Minh;Phường Chợ Lớn;129 Nguyễn Huệ;SP002;Samsung Galaxy S24;Đồ điện tử;2; 18,990,000 ₫ ;0.15; 5,697,000 ₫ ; 37,980,000 ₫ ;22,00 ₫; 35,533,000 ₫ ;Ninja Van;Thẻ ngân hàng;Shopee;Đã giao;31/01/2023;20;Samsung;Điện thoại
DH2023004744;27/01/2023;931085451;Cà Mau;Xã Năm Căn;528 Quang Trung;SP004;iPhone 14;Đồ điện tử;2; 16,990,000 ₫ ;0; - ₫ ; 33,980,000 ₫ ;25,00 ₫; 37,403,000 ₫ ;Ninja Van;COD;Shopee;Đã giao;30/01/2023;20;Apple;Điện thoại
DH2023005079;27/01/2023;882805922;Cà Mau;Xã Trần Văn Thời;488 3 Tháng 2;SP023;Apple Watch SE;Đồ điện tử;1; 5,990,000 ₫ ;0; - ₫ ; 5,990,000 ₫ ;25,00 ₫; 6,614,000 ₫ ;Viettel Post;Thẻ ngân hàng;Website;Đã giao;29/01/2023;3;Apple;Đồng hồ thông minh
DH2023005515;27/01/2023;709797872;Đồng Nai;Xã Nhơn Trạch;528 Hai Bà Trưng;SP011;Tai nghe AirPods 3;Đồ điện tử;4; 3,990,000 ₫ ;0.07; 1,117,000 ₫ ; 15,960,000 ₫ ;30,00 ₫; 16,357,000 ₫ ;J&T Express;Chuyển khoản;Shopee;Đã giao;29/01/2023;20;Apple;Tai nghe
DH2023005835;27/01/2023;901838355;An Giang;Xã Chợ Mới;406 Cách Mạng Tháng Tám;SP018;Chuột Logitech M331;Đồ điện tử;5;390,00 ₫;0.05;98,00 ₫; 1,950,000 ₫ ;28,00 ₫; 2,065,000 ₫ ;VNPost;COD;Facebook;Hủy đơn;30/01/2023;10;Logitech;Phụ kiện
DH2023008785;27/01/2023;975871309;TP. Hồ Chí Minh;Phường Tân Định;206 Võ Văn Kiệt;SP014;Loa Bluetooth JBL Go 4;Đồ điện tử;1; 1,190,000 ₫ ;0.15;178,00 ₫; 1,190,000 ₫ ;35,00 ₫; 1,148,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Website;Đã giao;01/02/2023;17;JBL;Loa
DH2023009450;28/01/2023;967250448;TP. Hồ Chí Minh;Phường Tân Bình;175 Nguyễn Huệ;SP001;Samsung Galaxy A15;Đồ điện tử;5; 4,590,000 ₫ ;0; - ₫ ; 22,950,000 ₫ ;40,00 ₫; 25,285,000 ₫ ;Viettel Post;Ví điện tử;Shopee;Đã giao;03/02/2023;20;Samsung;Điện thoại
DH2023000820;29/01/2023;967250448;Tây Ninh;Phường Trảng Bàng;533 Nguyễn Trãi;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0; - ₫ ; 23,990,000 ₫ ;45,00 ₫; 26,434,000 ₫ ;J&T Express;COD;TikTok Shop;Đã giao;01/02/2023;20;Apple;Laptop
DH2023001722;29/01/2023;853807152;TP. Hồ Chí Minh;Phường Sài Gòn;148 Quang Trung;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2; 1,590,000 ₫ ;0; - ₫ ; 3,180,000 ₫ ;22,00 ₫; 3,520,000 ₫ ;VNPost;COD;Cửa hàng;Đã giao;03/02/2023;20;Samsung;Tai nghe
DH2023002330;29/01/2023;882096727;TP. Hồ Chí Minh;Phường Sài Gòn;38 Hai Bà Trưng;SP007;MacBook Air M2;Đồ điện tử;2; 23,990,000 ₫ ;0.12; 5,758,000 ₫ ; 47,980,000 ₫ ;40,00 ₫; 46,484,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;Zalo;Đã giao;02/02/2023;20;Apple;Laptop
DH2023003089;29/01/2023;771235506;TP. Hồ Chí Minh;Phường Tân Bình;269 3 Tháng 2;SP010;Laptop Asus Vivobook 15;Đồ điện tử;3; 12,990,000 ₫ ;0.12; 4,676,000 ₫ ; 38,970,000 ₫ ;45,00 ₫; 37,768,000 ₫ ;Ninja Van;COD;Website;Đã giao;03/02/2023;20;Asus;Laptop
DH2023004608;29/01/2023;853807152;TP. Hồ Chí Minh;Phường An Khánh;236 3 Tháng 2;SP006;Xiaomi Pad 6;Đồ điện tử;1; 7,990,000 ₫ ;0.15; 1,198,000 ₫ ; 7,990,000 ₫ ;45,00 ₫; 7,516,000 ₫ ;J&T Express;Thẻ ngân hàng;TikTok Shop;Đã xác nhận;31/01/2023;20;Xiaomi;Máy tính bảng
DH2023009446;29/01/2023;853807152;TP. Hồ Chí Minh;Phường Bến Thành;389 Hai Bà Trưng;SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990,00 ₫;0.1;198,00 ₫; 1,980,000 ₫ ;18,00 ₫; 1,978,000 ₫ ;Giao Hàng Tiết Kiệm;Chuyển khoản;TikTok Shop;Đã giao;04/02/2023;20;Xiaomi;Tai nghe
DH2023009815;29/01/2023;766116037;Cà Mau;Xã Ngọc Hiển;191 3 Tháng 2;SP026;Camera Xiaomi C300;Đồ điện tử;1;990,00 ₫;0.2;198,00 ₫;990,00 ₫;25,00 ₫;896,00 ₫;J&T Express;COD;Zalo;Đã giao;01/02/2023;20;Xiaomi;Camera
DH2023000920;30/01/2023;853807152;Tây Ninh;Xã Châu Thành;371 Pasteur;SP008;Laptop Dell Inspiron 15;Đồ điện tử;1; 13,990,000 ₫ ;0.12; 1,679,000 ₫ ; 13,990,000 ₫ ;25,00 ₫; 13,567,000 ₫ ;J&T Express;Ví điện tử;Zalo;Đã giao;05/02/2023;20;Dell;Laptop
DH2023004543;30/01/2023;853807152;Đồng Nai;Xã Định Quán;39 Võ Văn Kiệt;SP007;MacBook Air M2;Đồ điện tử;1; 23,990,000 ₫ ;0.2; 4,798,000 ₫ ; 23,990,000 ₫ ;40,00 ₫; 21,151,000 ₫ ;Giao Hàng Nhanh;Ví điện tử;Shopee;Đã giao;04/02/2023;20;Apple;Laptop
DH2023006352;30/01/2023;705762159;Vĩnh Long;Xã Trà Ôn;373 Điện Biên Phủ;SP012;Tai nghe Samsung Galaxy Buds FE;Đồ điện tử;2; 1,590,000 ₫ ;0; - ₫ ; 3,180,000 ₫ ;45,00 ₫; 3,543,000 ₫ ;Viettel Post;Thẻ ngân hàng;Shopee;Hoàn hàng;03/02/2023;20;Samsung;Tai nghe
DH2023007063;30/01/2023;853807152;Đồng Tháp;Phường Sa Đéc;1 Hai Bà Trưng;SP005;Xiaomi Redmi Note 13;Đồ điện tử;1; 4,990,000 ₫ ;0; - ₫ ; 4,990,000 ₫ ;35,00 ₫; 5,524,000 ₫ ;Giao Hàng Nhanh;COD;Facebook;Đã giao;01/02/2023;20;Xiaomi;Điện thoại
DH2023001074;31/01/2023;853807152;Vĩnh Long;Xã Tam Bình;436 Nguyễn Huệ;SP005;Xiaomi Redmi Note 13;Đồ điện tử;2; 4,990,000 ₫ ;0; - ₫ ; 9,980,000 ₫ ;40,00 ₫; 11,018,000 ₫ ;Viettel Post;COD;Zalo;Đã giao;04/02/2023;20;Xiaomi;Điện thoại
DH2023003389;31/01/2023;967250448;TP. Hồ Chí Minh;Phường Bình Thạnh;89 Trần Hưng Đạo;SP023;Apple Watch SE;Đồ điện tử;4; 5,990,000 ₫ ;0.1; 2,396,000 ₫ ; 23,960,000 ₫ ;30,00 ₫; 23,750,000 ₫ ;Viettel Post;Chuyển khoản;Website;Đã giao;03/02/2023;20;Apple;Đồng hồ thông minh
DH2023004685;31/01/2023;946009293;Vĩnh Long;Xã Mang Thít;477 Hai Bà Trưng;SP024;Samsung Galaxy Watch6;Đồ điện tử;2; 5,490,000 ₫ ;0.05;549,00 ₫; 10,980,000 ₫ ;35,00 ₫; 11,509,000 ₫ ;J&T Express;COD;Shopee;Đã giao;06/02/2023;20;Samsung;Đồng hồ thông minh
DH2023009814;31/01/2023;853807152;Vĩnh Long;Xã Tam Bình;10 Pasteur;SP009;Laptop HP Pavilion 14;Đồ điện tử;2; 15,990,000 ₫ ;0.15; 4,797,000 ₫ ; 31,980,000 ₫ ;45,00 ₫; 29,946,000 ₫ ;Giao Hàng Nhanh;Thẻ ngân hàng;Facebook;Đã giao;02/02/2023;20;HP;Laptop
DH2023000070;01/02/2023;967250448;TP. Hồ Chí Minh;Phường Bến Thành;295 Pasteur;SP003;iPhone 15;Đồ điện tử;3; 19,990,000 ₫ ;0; - ₫ ; 59,970,000 ₫ ;45,00 ₫; 66,012,000 ₫ ;Viettel Post;Chuyển khoản;TikTok Shop;Đã giao;06/02/2023;20;Apple;Điện thoại
DH2023000554;01/02/2023;373648652;TP. Hồ Chí Minh;Phường Tân Định;285 Lý Thường Kiệt;SP024;Samsung Galaxy Watch6;Đồ điện tử;2; 5,490,000 ₫ ;0; - ₫ ; 10,980,000 ₫ ;25,00 ₫; 12,103,000 ₫ ;Ninja Van;Chuyển khoản;Zalo;Đã giao;04/02/2023;20;Samsung;Đồng hồ thông minh
DH2023001644;01/02/2023;358998449;Tây Ninh;Xã Gò Dầu;145 Cách Mạng Tháng Tám;SP013;Tai nghe Xiaomi Redmi Buds 5;Đồ điện tử;2;990,00 ₫;0; - ₫ ; 1,980,000 ₫ ;28,00 ₫; 2,206,000 ₫ ;J&T Express;Ví điện tử;Shopee;Đã xác nhận;05/02/2023;20;Xiaomi;Tai nghe
DH2023005371;02/02/2023;783224943;TP. Hồ Chí Minh;Phường Chợ Lớn;40 Lê Lợi;SP015;Smart TV Samsung 43 inch;Đồ điện tử;3; 7,990,000 ₫ ;0; - ₫ ; 23,970,000 ₫ ;45,00 ₫; 26,412,000 ₫ ;Ninja Van;Chuyển khoản;TikTok Shop;Đã giao;08/02/2023;16;Samsung;Tivi
DH2023007515;02/02/2023;965288534;Cần Thơ;Xã Phong Điền;272 Hai Bà Trưng;SP004;iPhone 14;Đồ điện tử;2; 16,990,000 ₫ ;0.05; 1,699,000 ₫ ; 33,980,000 ₫ ;30,00 ₫; 35,539,000 ₫ ;Giao Hàng Tiết Kiệm;COD;TikTok Shop;Đã giao;07/02/2023;1;Apple;Điện thoại
